species,year,avgcatch,catchUCI,catchLCI
10,1971,39.15972377,49.63839786,28.68104969
10,1972,50.71541537,62.31661993,39.11421081
10,1973,47.02927264,62.02355105,32.03499424
10,1974,45.82410279,57.00439103,34.64381455
10,1975,38.26895276,52.44010844,24.09779708
10,1976,75.94432661,94.70075941,57.18789381
10,1977,92.65246645,128.1971715,57.10776139
10,1978,145.1036367,222.817588,67.38968549
10,1979,192.5021538,232.9338179,152.0704897
10,1980,188.3500863,253.6155901,123.0845826
10,1981,268.1681662,344.4643163,191.872016
10,1982,238.1976326,327.0473418,149.3479235
10,1983,216.0993242,259.7724762,172.4261723
10,1984,161.9858055,197.9751612,125.9964498
10,1985,282.9223799,396.3567652,169.4879947
10,1986,236.6060733,295.0293109,178.1828357
10,1987,164.5980367,194.776937,134.4191364
10,1988,298.026343,416.2524247,179.8002612
10,1989,215.1539583,269.2148617,161.0930549
10,1990,125.8584293,151.5878743,100.1289843
10,1991,110.2673189,151.9319408,68.602697
10,1992,54.85261366,68.56694523,41.13828209
10,1993,66.08554657,79.33241756,52.83867558
10,1994,54.66934979,66.07120929,43.2674903
10,1995,65.83795799,80.14465217,51.53126381
10,1996,67.14906487,88.22434916,46.07378059
10,1997,52.85207448,71.11585281,34.58829616
10,1998,52.06434059,64.38473339,39.74394778
10,1999,69.7901339,99.56209281,40.01817499
10,2000,49.66722691,69.1898725,30.14458132
10,2001,43.84888236,66.24251175,21.45525296
10,2002,84.45753143,139.1491896,29.76587323
10,2003,23.21451952,32.42884939,14.00018965
10,2004,68.08314935,109.8186035,26.34769522
10,2005,34.02844857,50.16738618,17.88951095
10,2006,37.89900236,55.22013957,20.57786515
10,2007,33.59829829,51.44033075,15.75626583
10,2008,34.0321107,53.28589627,14.77832513
10,2009,45.8485703,87.22488045,4.472260151
10,2010,22.87887933,29.98131559,15.77644307
10,2011,15.54186009,22.03971815,9.044002028
10,2012,17.7154096,23.19616444,12.23465477
10,2013,66.39753778,115.8305372,16.96453834
10,2014,38.23214546,76.69632708,0
10,2015,27.35553941,35.3006048,19.41047403
10,2016,14.51624887,20.55311558,8.479382165
10,2017,9.680866022,18.78152884,0.580203208
10,2018,40.63210682,59.22207548,22.04213816
10,2019,7.276824397,11.9725894,2.581059389
10,2020,44.34424788,61.81959097,26.8689048
11,1971,0.052409812,0.114676586,0
11,1972,0.149935865,0.399664909,0
11,1973,0.09128287,0.245531676,0
11,1974,0.017603142,0.052808647,0
11,1975,0.096522553,0.201573682,0
11,1976,0.115894611,0.248502652,0
11,1977,0.017520587,0.033344522,0.001696652
11,1978,0.077361863,0.178148142,0
11,1979,0.415825823,1.12639991,0
11,1980,0.018068271,0.044657157,0
11,1981,0.177079817,0.299690048,0.054469585
11,1982,1.057592189,1.916950755,0.198233624
11,1983,1.859360777,3.863464338,0
11,1984,1.109195812,2.01512864,0.203262983
11,1985,2.285366324,5.36539024,0
11,1986,1.690781734,3.731723257,0
11,1987,0.150971506,0.288412496,0.013530515
11,1988,0.207125884,0.479818773,0
11,1989,0.236873469,0.562915395,0
11,1990,0.337536385,0.737030999,0
11,1991,0.061246153,0.118954177,0.00353813
11,1992,0.06771216,0.155150118,0
11,1993,0.015414733,0.038283211,0
11,1994,0.011505982,0.027782267,0
11,1995,0.009281862,0.022465115,0
11,1996,0.114362109,0.281014155,0
11,1997,0.009668252,0.029003685,0
11,1998,0.131792434,0.342686977,0
11,1999,0.048089923,0.140283815,0
11,2000,0.197772975,0.568568967,0
11,2001,0.011995815,0.035986303,0
11,2002,0.03976141,0.119278546,0
11,2003,0,0,0
11,2004,0.014234141,0.042700726,0
11,2005,0.00290071,0.00870184,0
11,2006,0,0,0
11,2007,0.010110759,0.030331071,0
11,2008,0.02320502,0.069611742,0
11,2009,0.199836171,0.599484701,0
11,2010,0,0,0
11,2011,0,0,0
11,2012,0,0,0
11,2013,0.089701114,0.195623081,0
11,2014,0.004995904,0.014987118,0
11,2015,0,0,0
11,2016,0.138519067,0.331869093,0
11,2017,0.022871675,0.058728124,0
11,2018,0.053341217,0.13817475,0
11,2019,0.109752352,0.221517099,0
11,2020,0.013151773,0.039454737,0
12,1971,2.119396791,3.777902095,0.460891487
12,1972,1.312188846,2.042762423,0.581615269
12,1973,4.461460531,10.79350076,0
12,1974,8.093068323,15.13138587,1.054750776
12,1975,6.256966298,12.23477181,0.279160788
12,1976,5.509058172,10.01424063,1.003875715
12,1977,3.384765993,5.293428508,1.476103477
12,1978,6.894215216,11.57037105,2.218059387
12,1979,6.275889881,10.27114122,2.280638542
12,1980,5.584079303,7.298010368,3.870148239
12,1981,9.002715234,14.57946266,3.42596781
12,1982,2.953908455,4.882483944,1.025332965
12,1983,2.691658109,3.624941384,1.758374834
12,1984,4.300261469,5.767810928,2.83271201
12,1985,7.415768385,12.03887005,2.792666716
12,1986,11.50405934,16.03548944,6.972629237
12,1987,5.998454202,8.299924459,3.696983946
12,1988,8.336807652,11.99822496,4.675390345
12,1989,8.275020366,12.52450686,4.02553387
12,1990,8.442460564,12.25716713,4.627753999
12,1991,9.308664963,16.68038073,1.936949193
12,1992,6.592169791,11.46007002,1.72426956
12,1993,3.85903351,6.364015672,1.354051348
12,1994,3.23445692,5.419587781,1.04932606
12,1995,2.207923111,3.004086656,1.411759567
12,1996,2.92169876,4.130217184,1.713180335
12,1997,2.866673064,4.39490963,1.338436498
12,1998,2.921688149,4.067939653,1.775436646
12,1999,4.292473001,7.07275592,1.512190082
12,2000,8.654608935,14.40026009,2.908957786
12,2001,3.373351296,4.90034933,1.846353262
12,2002,2.865133498,4.53371483,1.196552166
12,2003,3.278978061,5.646484758,0.911471364
12,2004,1.550255037,2.256798765,0.84371131
12,2005,4.340284572,5.849883003,2.830686141
12,2006,1.658778753,2.305730154,1.011827352
12,2007,9.49475245,19.19364413,0
12,2008,3.251721156,4.741959696,1.761482617
12,2009,3.880008913,6.293878829,1.466138997
12,2010,3.876629685,5.479447335,2.273812035
12,2011,2.837516614,4.558805135,1.116228092
12,2012,3.26585532,5.719265026,0.812445614
12,2013,1.416872032,2.27354614,0.560197924
12,2014,6.423206161,12.31923147,0.527180853
12,2015,3.196362482,4.357081194,2.03564377
12,2016,2.848498056,4.029831218,1.667164894
12,2017,4.245277641,8.333977025,0.156578257
12,2018,1.463384714,2.061120346,0.865649082
12,2019,5.376298562,9.1198867,1.632710424
12,2020,5.716809437,8.088347775,3.345271099
14,1971,0,0,0
14,1972,0,0,0
14,1973,0,0,0
14,1974,0.080778516,0.117717331,0.0438397
14,1975,0.02163101,0.064891583,0
14,1976,0.011052444,0.033156826,0
14,1977,0.004238852,0.01271596,0
14,1978,0.005880023,0.017639647,0
14,1979,0.01213751,0.036411967,0
14,1980,0,0,0
14,1981,0.020782278,0.05163036,0
14,1982,0,0,0
14,1983,0,0,0
14,1984,0.127549209,0.22776897,0.027329448
14,1985,0.197983965,0.342952344,0.053015586
14,1986,0.172041929,0.27642087,0.067662988
14,1987,0.416824653,0.80974449,0.023904815
14,1988,0.137217745,0.322392039,0
14,1989,0.076813583,0.148483516,0.005143651
14,1990,0.031035846,0.065909332,0
14,1991,0.045668024,0.080589328,0.010746721
14,1992,0.028485128,0.06270124,0
14,1993,0.007282506,0.021846955,0
14,1994,0,0,0
14,1995,0.006358456,0.019074773,0
14,1996,0.010405797,0.023407868,0
14,1997,0,0,0
14,1998,0.01677483,0.036235557,0
14,1999,0.002799914,0.008399463,0
14,2000,0.002440528,0.007321293,0
14,2001,0.019571582,0.040029474,0
14,2002,0.022337525,0.043626578,0.001048473
14,2003,0.008229687,0.024688473,0
14,2004,0.004966689,0.014899474,0
14,2005,0.010543185,0.025523195,0
14,2006,0,0,0
14,2007,0.016061108,0.034858349,0
14,2008,0.062541832,0.187615047,0
14,2009,0.037031779,0.067330512,0.006733046
14,2010,0.013905298,0.030395438,0
14,2011,0.048994622,0.11311276,0
