"","class","order","family","LATIN","ENGLISH","aphia_id","species.code"
"29","Myxini","Myxiniformes","Myxinidae","Myxine glutinosa","Atlantic hagfish",101170,"241"
"24","Elasmobranchii","Rajiformes","Rajidae","Amblyraja radiata","Thorny skate",105865,"201"
"26","Elasmobranchii","Rajiformes","Rajidae","Leucoraja ocellata","Winter skate",158553,"204"
"25","Elasmobranchii","Rajiformes","Rajidae","Malacoraja senta","Smooth skate",158554,"202"
"27","Elasmobranchii","Squaliformes","Squalidae","Squalus acanthias","Spiny dogfish",105923,"220"
"28","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium fabricii","Black dogfish",105906,"221"
"51","Actinopteri","Aulopiformes","Paralepididae","Arctozenus risso","White barracudina",126352,"712"
"15","Actinopteri","Clupeiformes","Clupeidae","Alosa pseudoharengus","Alewife",158669,"62"
"14","Actinopteri","Clupeiformes","Clupeidae","Clupea harengus","Atlantic herring",126417,"60"
"18","Actinopteri","Gadiformes","Gadidae","Boreogadus saida","Arctic cod",126433,"110"
"1","Actinopteri","Gadiformes","Gadidae","Gadus morhua","Atlantic cod",126436,"10"
"21","Actinopteri","Gadiformes","Gadidae","Gadus macrocephalus","Greenland cod",254538,"118"
"2","Actinopteri","Gadiformes","Gadidae","Melanogrammus aeglefinus","Haddock",126437,"11"
"5","Actinopteri","Gadiformes","Gadidae","Pollachius virens","Pollock",126441,"16"
"40","Actinopteri","Gadiformes","Macrouridae","Nezumia bairdii","Marlin-spike grenadier",183289,"410"
"4","Actinopteri","Gadiformes","Merlucciidae","Merluccius bilinearis","Silver hake",158962,"14"
"20","Actinopteri","Gadiformes","Lotidae","Enchelyopus cimbrius","Fourbeard rockling",126450,"114"
"19","Actinopteri","Gadiformes","Phycidae","Phycis chesteri","Longfin hake",158988,"112"
"3","Actinopteri","Gadiformes","Phycidae","Urophycis tenuis","White hake",126504,"12"
"39","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus aculeatus","Three-spined stickleback",126505,"361"
"17","Actinopteri","Osmeriformes","Osmeridae","Mallotus villosus","Capelin",126735,"64"
"16","Actinopteri","Osmeriformes","Osmeridae","Osmerus mordax","Rainbow smelt",126737,"63"
"44","Actinopteri","Perciformes","Ammodytidae","Ammodytes dubius","Northern sand lance",151520,"610"
"13","Actinopteri","Perciformes","Anarhichadidae","Anarhichas lupus","Atlantic wolffish",126758,"50"
"22","Actinopteri","Eupercaria incertae sedis","Labridae","Tautogolabrus adspersus","Cunner",159785,"122"
"47","Actinopteri","Perciformes","Stichaeidae","Leptoclinus maculatus","Daubed shanny",127072,"623"
"46","Actinopteri","Perciformes","Stichaeidae","Lumpenus lampretaeformis","Snakeblenny",154675,"622"
"48","Actinopteri","Perciformes","Stichaeidae","Stichaeus punctatus punctatus","Arctic shanny",293745,"624"
"45","Actinopteri","Perciformes","Zoarcidae","Gymnelus viridis","Fish doctor",127096,"616"
"43","Actinopteri","Perciformes","Zoarcidae","Zoarcidae (f.)","Eelpouts unidentified",125575,"598"
"50","Actinopteri","Perciformes","Zoarcidae","Melanostigma atlanticum","Atlantic soft pout",127120,"646"
"49","Actinopteri","Perciformes","Zoarcidae","Zoarces americanus","Ocean pout",159267,"640"
"10","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus cynoglossus","Witch flounder",127136,"41"
"9","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides platessoides","American plaice",127137,"40"
"7","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut",127138,"30"
"11","Actinopteri","Pleuronectiformes","Pleuronectidae","Limanda ferruginea","Yellowtail flounder",158879,"42"
"12","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes americanus","Winter flounder",158885,"43"
"8","Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut",127144,"31"
"23","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus aquosus","Windowpane flounder",158907,"143"
"37","Actinopteri","Perciformes","Agonidae","Aspidophoroides monopterygius, Aspidophoroides olrikii","Alligatorfishes",159458,"340, 341"
"38","Actinopteri","Perciformes","Agonidae","Leptagonus decagonus","Atlantic poacher",127191,"350"
"52","Actinopteri","Perciformes","Cottidae","Artediellus sp.","Hookear sculpins",126147,"306, 880"
"34","Actinopteri","Perciformes","Cottidae","Icelus spatula","Spatulate sculpin",127200,"314"
"30","Actinopteri","Perciformes","Cottidae","Myoxocephalus octodecemspinosus","Longhorn sculpin",159520,"300"
"35","Actinopteri","Perciformes","Cottidae","Myoxocephalus scorpioides","Arctic sculpin",127202,"316"
"31","Actinopteri","Perciformes","Cottidae","Myoxocephalus scorpius","Shorthorn sculpin",127203,"301"
"32","Actinopteri","Perciformes","Cottidae","Triglops murrayi","Moustache sculpin",127205,"304"
"41","Actinopteri","Perciformes","Cyclopteridae","Cyclopterus lumpus","Lumpfish",127214,"501"
"42","Actinopteri","Perciformes","Liparidae","Liparis sp.","Seasnails",126160,"503, 504, 505, 506, 508, 512, 513"
"36","Actinopteri","Scorpaeniformes","Hemitripteridae","Hemitripterus americanus","Sea raven",159518,"320"
"33","Actinopteri","Perciformes","Psychrolutidae","Cottunculus microps","Polar sculpin",127235,"307"
"6","Actinopteri","Perciformes","Sebastidae","Sebastes sp.","Redfish unidentified",126175,"23"
