"","unique.id","species","number.caught","weight.caught"
"7","P-1971-091-1",10,262,335.6875
"2","P-1971-091-1",40,1035.4,158.1
"5","P-1971-091-1",41,3.875,1.9375
"9","P-1971-091-1",60,0.822368421052632,0
"1","P-1971-091-1",64,231.989201957145,0
"6","P-1971-091-1",201,2.5,7.5
"4","P-1971-091-1",501,2.5,2.5
"10","P-1971-091-1",642,31.25,21.25
"60","P-1971-091-2",10,63.3808823529412,78.2147058823529
"59","P-1971-091-2",40,469.741176470588,82.9705882352941
"61","P-1971-091-2",64,69.4727021903751,0
"58","P-1971-091-2",201,1.02941176470588,1.02941176470588
"64","P-1971-091-2",642,43.2352941176471,23.6764705882353
"119","P-1971-091-3",10,33.3454545454545,37.5136363636364
"118","P-1971-091-3",40,150.913636363636,25.6454545454545
"114","P-1971-091-3",300,0.795454545454545,0
"120","P-1971-091-3",501,0.795454545454545,1.59090909090909
"115","P-1971-091-3",642,2.38636363636364,2.38636363636364
"169","P-1971-091-4",10,136.1171875,275.1
"168","P-1971-091-4",40,846.3,155.96875
"164","P-1971-091-4",60,2.87828947368421,0.719572368421053
"162","P-1971-091-4",62,1.09375,0
"170","P-1971-091-4",64,295.258984309094,18.4536865193184
"166","P-1971-091-4",118,8.75,7.65625
"167","P-1971-091-4",201,1.09375,1.09375
"165","P-1971-091-4",501,1.09375,1.09375
"163","P-1971-091-4",642,15.3125,22.96875
"245","P-1971-091-5",10,22.925,28.1352272727273
"246","P-1971-091-5",40,3.94545454545455,0.986363636363636
"315","P-1971-091-6",10,1.20657894736842,2.41315789473684
"317","P-1971-091-6",40,1.14210526315789,1.14210526315789
"316","P-1971-091-6",64,248.639144681342,0
"314","P-1971-091-6",300,0.921052631578947,0
"382","P-1971-091-7",10,10.6983333333333,7.64166666666667
"385","P-1971-091-7",40,10.1266666666667,11.5733333333333
"381","P-1971-091-7",42,53.7394749876176,15.5852417302799
"383","P-1971-091-7",64,118.103593723638,0
"384","P-1971-091-7",201,4.66666666666667,3.5
"386","P-1971-091-7",300,1.16666666666667,0
"387","P-1971-091-7",320,3.5,3.5
"396","P-1971-091-8",10,140.415625,217.7875
"393","P-1971-091-8",40,428.575,46.1125
"395","P-1971-091-8",41,145.796875,77.984375
"390","P-1971-091-8",42,16.2518573551263,6.26192748091603
"397","P-1971-091-8",60,1.43914473684211,0
"398","P-1971-091-8",64,147.629492154547,0
"392","P-1971-091-8",201,4.375,6.5625
"388","P-1971-091-8",300,1.09375,0
"394","P-1971-091-8",642,16.40625,9.84375
"401","P-1971-091-9",10,137.55,186.097058823529
"407","P-1971-091-9",40,288.482352941176,56.1647058823529
"403","P-1971-091-9",41,6.38235294117647,6.38235294117647
"404","P-1971-091-9",118,1.02941176470588,0
"400","P-1971-091-9",304,1.02941176470588,0
"402","P-1971-091-9",622,2.05882352941176,0
"405","P-1971-091-9",642,1.02941176470588,0
"15","P-1971-091-10",10,117.172222222222,194.8625
"12","P-1971-091-10",40,24.1111111111111,9.64444444444444
"13","P-1971-091-10",201,0.972222222222222,0
"11","P-1971-091-10",501,0.972222222222222,0
"16","P-1971-091-11",10,125.413235294118,121.367647058824
"18","P-1971-091-11",12,0.779857397504456,0.779857397504456
"17","P-1971-091-11",40,30.6352941176471,8.93529411764706
"20","P-1971-091-11",501,1.02941176470588,1.02941176470588
"22","P-1971-091-12",10,116.0578125,259.3390625
"23","P-1971-091-12",40,92.225,16.275
"24","P-1971-091-12",201,2.1875,4.375
"25","P-1971-091-12",300,1.09375,0
"27","P-1971-091-13",10,96.9903846153846,119.915384615385
"26","P-1971-091-13",11,1.34615384615385,2.69230769230769
"29","P-1971-091-13",40,13.3538461538462,11.6846153846154
"28","P-1971-091-13",50,1.34615384615385,17.5
"33","P-1971-091-14",10,43.1529411764706,163.172058823529
"30","P-1971-091-14",23,85.6291883842144,20.4765450483991
"35","P-1971-091-14",40,38.2941176470588,17.8705882352941
"31","P-1971-091-14",41,1.59558823529412,1.59558823529412
"32","P-1971-091-14",60,0.677244582043344,0
"36","P-1971-091-14",202,1.02941176470588,0
"34","P-1971-091-14",501,1.02941176470588,4.11764705882353
"39","P-1971-091-15",10,67.5013888888889,90.4263888888889
"40","P-1971-091-15",23,494.022503516174,237.341772151899
"42","P-1971-091-15",40,32.55,8.43888888888889
"41","P-1971-091-15",41,4.52083333333333,3.01388888888889
"38","P-1971-091-15",642,2.91666666666667,0
"43","P-1971-091-16",23,137.658227848101,75.9493670886076
"51","P-1971-091-17",10,26.4519230769231,68.775
"50","P-1971-091-17",12,3.05944055944056,5.0990675990676
"49","P-1971-091-17",23,479.552093476144,211.781888997079
"45","P-1971-091-17",40,1.66923076923077,0
"48","P-1971-091-17",410,1.34615384615385,0
"55","P-1971-091-18",12,0.697767145135566,0.697767145135566
"54","P-1971-091-18",23,366.422385076616,163.224516988674
"52","P-1971-091-18",40,2.28421052631579,1.14210526315789
"53","P-1971-091-18",41,1.42763157894737,0
"56","P-1971-091-19",10,2.41315789473684,4.82631578947368
"57","P-1971-091-19",40,3.42631578947368,2.28421052631579
"66","P-1971-091-20",10,26.36375,26.36375
"65","P-1971-091-20",40,7.595,2.17
"72","P-1971-091-21",10,141.595588235294,196.885294117647
"71","P-1971-091-21",23,11.1690245718541,0
"68","P-1971-091-21",40,98.2882352941177,22.9764705882353
"67","P-1971-091-21",201,1.02941176470588,2.05882352941176
"74","P-1971-091-21",300,1.02941176470588,0
"70","P-1971-091-21",501,1.02941176470588,5.14705882352941
"73","P-1971-091-21",642,2.05882352941176,0
"75","P-1971-091-22",12,25.7786195286195,8.83838383838384
"77","P-1971-091-22",23,661.040787623066,279.535864978903
"83","P-1971-091-22",31,3.88888888888889,5.83333333333333
"76","P-1971-091-22",40,18.0833333333333,6.02777777777778
"80","P-1971-091-22",41,34.6597222222222,10.5486111111111
"84","P-1971-091-22",201,1.94444444444444,2.91666666666667
"82","P-1971-091-22",202,0.972222222222222,0.972222222222222
"79","P-1971-091-22",241,0.972222222222222,0
"78","P-1971-091-22",642,1.94444444444444,0
"86","P-1971-091-23",10,11.4625,14.90125
"85","P-1971-091-23",304,0.875,0
"89","P-1971-091-24",10,26.7458333333333,30.5666666666667
"87","P-1971-091-24",40,34.9611111111111,4.82222222222222
"90","P-1971-091-24",64,131.226215248486,0
"92","P-1971-091-25",10,14.0097222222222,14.0097222222222
"93","P-1971-091-25",40,57.8666666666667,8.43888888888889
"91","P-1971-091-25",64,229.645876684851,0
"97","P-1971-091-26",10,24.1315789473684,57.9157894736842
"98","P-1971-091-26",40,91.3684210526316,21.7
"94","P-1971-091-26",42,1.36857746148432,0
"95","P-1971-091-26",201,0.921052631578947,1.84210526315789
"96","P-1971-091-26",304,0.921052631578947,0
"102","P-1971-091-27",10,3.43875,3.43875
"101","P-1971-091-27",40,180.11,52.08
"100","P-1971-091-27",201,0.875,0.875
"99","P-1971-091-27",304,1.75,0
"106","P-1971-091-28",10,2.2925,1.14625
"103","P-1971-091-28",40,9.765,3.255
"104","P-1971-091-28",42,9.10104011887073,5.00954198473282
"105","P-1971-091-28",300,1.75,0
"112","P-1971-091-29",10,5.73125,1.14625
"111","P-1971-091-29",40,6.51,8.68
"110","P-1971-091-29",42,119.61367013373,25.0477099236641
"113","P-1971-091-29",43,32.522,10.163125
"107","P-1971-091-29",201,1.75,2.625
"108","P-1971-091-29",300,4.375,0.875
"121","P-1971-091-30",10,4.2984375,1.4328125
"125","P-1971-091-30",40,1.35625,0
"126","P-1971-091-30",42,56.881500742942,16.6984732824427
"122","P-1971-091-30",43,114.33515625,27.94859375
"123","P-1971-091-30",204,2.1875,2.1875
"127","P-1971-091-30",300,3.28125,1.09375
"129","P-1971-091-30",320,3.28125,4.375
"135","P-1971-091-31",10,61.1333333333333,87.115
"132","P-1971-091-31",11,1.16666666666667,2.33333333333333
"131","P-1971-091-31",23,82.2784810126582,8.43881856540084
"130","P-1971-091-31",40,2.89333333333333,0
"134","P-1971-091-31",41,5.425,1.80833333333333
"136","P-1971-091-31",201,1.16666666666667,3.5
"133","P-1971-091-31",642,3.5,1.16666666666667
"137","P-1971-091-33",10,30.0890625,37.253125
"139","P-1971-091-33",40,84.0875,75.95
"140","P-1971-091-33",60,1.43914473684211,0.719572368421053
"138","P-1971-091-33",201,7.65625,15.3125
"142","P-1971-091-34",10,74.50625,127.5203125
"145","P-1971-091-34",40,14.91875,17.63125
"143","P-1971-091-34",60,413.034539473684,137.438322368421
"144","P-1971-091-34",201,3.28125,5.46875
"141","P-1971-091-34",642,1.09375,1.09375
"149","P-1971-091-35",10,19.48625,29.8025
"147","P-1971-091-35",11,1.75,0.875
"146","P-1971-091-35",12,0.662878787878788,0
"148","P-1971-091-35",23,476.26582278481,188.291139240506
"151","P-1971-091-36",10,89.1527777777778,117.172222222222
"152","P-1971-091-36",40,25.3166666666667,10.85
"153","P-1971-091-36",42,1.44460954267789,0
"155","P-1971-091-36",201,2.91666666666667,4.86111111111111
"150","P-1971-091-36",304,0.972222222222222,0
"154","P-1971-091-36",642,1.94444444444444,0.972222222222222
"158","P-1971-091-37",10,29.475,29.475
"156","P-1971-091-37",40,71.3,21.7
"157","P-1971-091-37",304,2.5,0
"161","P-1971-091-38",10,21.4921875,18.6265625
"160","P-1971-091-38",40,348.55625,82.73125
"159","P-1971-091-38",60,100.740131578947,25.1850328947368
"171","P-1971-091-40",10,10.4204545454545,29.1772727272727
"172","P-1971-091-40",40,3.94545454545455,3.94545454545455
"173","P-1971-091-40",60,198.863636363636,52.3325358851675
"180","P-1971-091-41",10,182.051470588235,159.126470588235
"178","P-1971-091-41",40,1110.52941176471,232.317647058824
"179","P-1971-091-41",41,1.59558823529412,1.59558823529412
"175","P-1971-091-41",42,1.52958657460012,0
"174","P-1971-091-41",60,8.12693498452012,2.03173374613003
"177","P-1971-091-41",201,2.05882352941176,3.08823529411765
"176","P-1971-091-41",642,1.02941176470588,1.02941176470588
"184","P-1971-091-42",10,145.191666666667,129.908333333333
"182","P-1971-091-42",40,91.14,26.04
"181","P-1971-091-42",42,39.8712233779099,15.5852417302799
"185","P-1971-091-42",60,475.877192982456,107.456140350877
"183","P-1971-091-42",201,3.5,5.83333333333333
"190","P-1971-091-43",10,83.103125,78.8046875
"186","P-1971-091-43",40,2.7125,2.7125
"188","P-1971-091-43",60,186.369243421053,34.5394736842105
"189","P-1971-091-43",201,2.1875,5.46875
"187","P-1971-091-43",642,1.09375,1.09375
"196","P-1971-091-44",10,152.028947368421,136.343421052632
"195","P-1971-091-44",12,0.697767145135566,0
"198","P-1971-091-44",40,1594.37894736842,207.863157894737
"192","P-1971-091-44",60,661.097645429363,178.756925207756
"197","P-1971-091-44",201,5.52631578947368,6.44736842105263
"193","P-1971-091-44",622,4.60526315789474,0
"191","P-1971-091-44",642,38.6842105263158,40.5263157894737
"199","P-1971-091-45",10,48.9066666666667,70.3033333333333
"200","P-1971-091-45",12,7.95454545454545,15.9090909090909
"206","P-1971-091-45",40,5.78666666666667,1.44666666666667
"204","P-1971-091-45",42,8.66765725606736,4.4529262086514
"203","P-1971-091-45",43,59.6236666666667,29.8118333333333
"205","P-1971-091-45",204,2.33333333333333,3.5
"201","P-1971-091-45",300,1.16666666666667,0
"207","P-1971-091-45",320,2.33333333333333,2.33333333333333
"202","P-1971-091-45",640,1.16666666666667,3.5
"213","P-1971-091-46",10,17.5308823529412,22.925
"211","P-1971-091-46",12,3.11942959001783,7.79857397504456
"214","P-1971-091-46",42,29.0621449174023,7.85810507409071
"209","P-1971-091-46",43,217.610441176471,124.348823529412
"210","P-1971-091-46",204,5.14705882352941,6.1764705882353
"208","P-1971-091-46",300,6.1764705882353,1.02941176470588
"212","P-1971-091-46",320,5.14705882352941,5.14705882352941
"218","P-1971-091-47",10,40.7555555555556,53.4916666666667
"216","P-1971-091-47",12,1.47306397306397,8.10185185185185
"220","P-1971-091-47",60,280.15350877193,61.4035087719298
"215","P-1971-091-47",62,607.638888888889,118.611111111111
"217","P-1971-091-47",204,4.86111111111111,4.86111111111111
"219","P-1971-091-47",300,0.972222222222222,0
"225","P-1971-091-48",10,45.85,57.9867647058824
"221","P-1971-091-48",12,2.33957219251337,3.89928698752228
"224","P-1971-091-48",40,99.5647058823529,15.3176470588235
"227","P-1971-091-48",42,220.260466742418,70.7229456668163
"223","P-1971-091-48",43,856.093823529412,289.350147058824
"228","P-1971-091-48",63,2.53549695740365,0
"229","P-1971-091-48",201,2.05882352941176,6.1764705882353
"230","P-1971-091-48",204,5.14705882352941,5.14705882352941
"226","P-1971-091-48",300,57.6470588235294,11.3235294117647
"222","P-1971-091-48",320,3.08823529411765,2.05882352941176
"232","P-1971-091-49",10,71.3222222222222,78.9638888888889
"237","P-1971-091-49",12,1.47306397306397,3.68265993265993
"233","P-1971-091-49",42,4.33382862803368,3.71077184054283
"234","P-1971-091-49",43,81.305,27.1016666666667
"239","P-1971-091-49",60,334.521198830409,67.7997076023392
"236","P-1971-091-49",118,1.94444444444444,2.91666666666667
"238","P-1971-091-49",201,0.972222222222222,0.972222222222222
"240","P-1971-091-49",204,2.91666666666667,2.91666666666667
"231","P-1971-091-49",300,8.75,1.94444444444444
"243","P-1971-091-49",320,0.972222222222222,0.972222222222222
"244","P-1971-091-49",501,0.972222222222222,4.86111111111111
"235","P-1971-091-49",640,0.972222222222222,0.972222222222222
"248","P-1971-091-50",10,4.9125,1.6375
"249","P-1971-091-50",12,0.946969696969697,2.84090909090909
"252","P-1971-091-50",40,457.25,71.3
"251","P-1971-091-50",60,5.75657894736842,1.64473684210526
"250","P-1971-091-50",201,8.75,12.5
"254","P-1971-091-51",10,21.6513888888889,24.1986111111111
"259","P-1971-091-51",40,7.23333333333333,6.02777777777778
"256","P-1971-091-51",42,18.7799240548126,5.56615776081425
"257","P-1971-091-51",43,15.8093055555556,9.03388888888889
"255","P-1971-091-51",201,1.94444444444444,1.94444444444444
"258","P-1971-091-51",300,0.972222222222222,0
"253","P-1971-091-51",320,1.94444444444444,2.91666666666667
"265","P-1971-091-52",10,32.9546875,34.3875
"264","P-1971-091-52",40,2.7125,2.7125
"267","P-1971-091-52",42,1.62518573551263,0
"262","P-1971-091-52",60,45.3330592105263,12.2327302631579
"266","P-1971-091-52",201,1.09375,0
"263","P-1971-091-52",501,1.09375,2.1875
"270","P-1971-091-53",10,84.0583333333333,90.4263888888889
"269","P-1971-091-53",40,88.0055555555555,24.1111111111111
"268","P-1971-091-53",60,3.83771929824561,1.27923976608187
"271","P-1971-091-53",201,0.972222222222222,0.972222222222222
"276","P-1971-091-54",10,15.7609375,5.73125
"274","P-1971-091-54",40,929.03125,157.325
"275","P-1971-091-54",42,3.25037147102526,2.08730916030534
"272","P-1971-091-54",304,1.09375,0
"273","P-1971-091-54",642,1.09375,1.09375
"280","P-1971-091-55",10,4.2984375,2.865625
"281","P-1971-091-55",40,183.09375,33.90625
